frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
8,4,0.42213204503059387,-0.28523966670036316,0.0312550887465477,-0.7359327077865601,-0.11872464289314531,0.4048776402835665,0.01319162651144392,200,557,,,,,-1,-1,-1,-1,,,,,,,,,
8,5,0.492487370967865,-0.28523966670036316,0.0312550887465477,-0.7359327077865601,-0.13851207918438443,0.4723572327054094,0.015390230464356615,206,543,,,,,-1,-1,-1,-1,,,,,,,,,
8,6,0.42213204503059387,-0.18899032473564148,0.06254076212644577,-0.588746190071106,-0.07914976104030019,0.41380515068395457,0.026383252953424127,185,585,,,,,-1,-1,-1,-1,,,,,,,,,
8,7,0.492487370967865,-0.18899032473564148,0.06254076212644577,-0.588746190071106,-0.09234138508638241,0.4827726611907232,0.030780460847672234,198,560,,,,,-1,-1,-1,-1,,,,,,,,,
8,8,0.633198082447052,0.06266342848539352,-0.06254076212644577,-0.588746190071106,0.03957487844080954,0.6307198026504282,-0.039574880361458765,171,549,,,,,-1,-1,-1,-1,,,,,,,,,
8,9,0.7035534381866455,0.03127036616206169,-0.0312550887465477,-0.588746190071106,0.02198604510016466,0.7028660384633861,-0.02198604511706245,197,556,,,,,-1,-1,-1,-1,,,,,,,,,
8,10,0.7739087343215942,-0.03127036616206169,-0.0312550887465477,-0.588746190071106,-0.024184648120064996,0.7731525946725977,-0.02418464813865256,177,560,,,,,-1,-1,-1,-1,,,,,,,,,
8,11,0.492487370967865,-0.18870966136455536,0.0312550887465477,-0.44155964255332947,-0.09234138218208565,0.4835080356165712,0.015390230464356615,158,578,,,,,-1,-1,-1,-1,,,,,,,,,
8,12,0.633198082447052,0.06257136166095734,-0.0312550887465477,-0.44155964255332947,0.03957488019268983,0.6316502969851199,-0.01978744023282717,181,552,,,,,-1,-1,-1,-1,,,,,,,,,
8,13,0.7035534381866455,0.0,0.0,-0.44155964255332947,0.0,0.7035534381866455,0.0,229,553,,,,,-1,-1,-1,-1,,,,,,,,,
8,14,0.7739087343215942,-0.0312550887465477,0.0,-0.44155964255332947,-0.02418464813865256,0.7735307568892535,0.0,206,560,,,,,-1,-1,-1,-1,,,,,,,,,
8,15,0.8442640900611877,-0.2528064250946045,-0.0312550887465477,-0.44155964255332947,-0.21106602398936158,0.8170293209206742,-0.02638325302288784,163,536,,,,,-1,-1,-1,-1,,,,,,,,,
8,16,0.7035534381866455,0.0,0.0,-0.294373095035553,0.0,0.7035534381866455,0.0,204,558,,,,,-1,-1,-1,-1,,,,,,,,,
8,17,0.7739087343215942,-0.0312550887465477,0.0,-0.294373095035553,-0.02418464813865256,0.7735307568892535,0.0,179,561,,,,,-1,-1,-1,-1,,,,,,,,,
8,18,0.8442640900611877,0.31782370805740356,0.0,-0.294373095035553,0.2638325314559219,0.8019814518506057,0.0,212,498,,,,,-1,-1,-1,-1,,,,,,,,,
8,19,0.9146194458007812,0.2528064250946045,-0.0312550887465477,-0.294373095035553,0.22865486304709873,0.8851151120845344,-0.02858185790712312,153,529,,,,,-1,-1,-1,-1,,,,,,,,,
10,0,0.42213204503059387,0.27712786197662354,0.4183463752269745,0.1471865475177765,0.10553301233047205,0.3710108300385768,0.17149113896716073,171,606,,,,,-1,-1,-1,0,0.09406554698944092,0.5294752717018127,0.42869043350219727,-0.14949168264865875,0.9783946871757507,0.4698026180267334,0.07355339825153351,0.3536924719810486,0.0
10,1,0.35177671909332275,0.3392491936683655,0.3509073555469513,0.294373095035553,0.10993022728140736,0.3115120745014194,0.12092325113783026,153,582,,,,,-1,-1,-1,-1,,,,,,,,,
10,2,0.42213204503059387,0.3392491936683655,0.3509073555469513,0.294373095035553,0.13191626714975327,0.3738144735670284,0.14510789521866713,196,584,,,,,-1,-1,-1,-1,,,,,,,,,
10,3,0.492487370967865,0.3392491936683655,0.3509073555469513,0.294373095035553,0.15390230701809915,0.43611687263263743,0.16929253929950397,168,588,,,,,-1,-1,-1,-1,,,,,,,,,
10,4,0.42213204503059387,0.4014720618724823,0.2850964367389679,0.44155964255332947,0.15829952241569598,0.37288226747059106,0.11872463624144933,165,557,,,,,-1,-1,-1,-1,,,,,,,,,
10,5,0.5628427267074585,0.3875966966152191,0.12532782554626465,-0.294373095035553,0.21106602781417114,0.5170040554652212,0.0703553376990602,155,583,,,,,-1,-1,-1,-1,,,,,,,,,
10,6,0.633198082447052,0.12538939714431763,0.0312550887465477,-0.294373095035553,0.07914976218198405,0.6279200458419777,0.01978744023282717,151,582,,,,,-1,-1,-1,-1,,,,,,,,,
10,7,0.5628427267074585,0.3525271415710449,0.09388787299394608,-0.1471865475177765,0.1934771797780223,0.5259032343704902,0.05276650444445581,174,586,,,,,-1,-1,-1,-1,,,,,,,,,
10,8,0.633198082447052,0.18861638009548187,0.0,-0.1471865475177765,0.11872463667730479,0.6219680636981818,0.0,178,583,,,,,-1,-1,-1,-1,,,,,,,,,
11,0,0.492487370967865,0.4419120252132416,0.31782370805740356,0.0,0.2000729902994629,0.4228814130705563,0.1539023053593415,158,552,,,,,-1,-1,-1,0,0.15342675149440765,0.5030117630958557,0.5268556475639343,-0.13515710830688477,0.9711107611656189,0.4587966799736023,0.12457923591136932,0.42676809430122375,0.0
11,1,0.492487370967865,0.4164538085460663,0.3843967616558075,-0.294373095035553,0.1846827606361721,0.41752648693401845,0.18468275825094976,160,562,,,,,-1,-1,-1,-1,,,,,,,,,
11,2,0.492487370967865,0.4473889172077179,0.3509073555469513,-0.1471865475177765,0.2000729937834017,0.41695880355127685,0.16929253929950397,152,602,,,,,-1,-1,-1,-1,,,,,,,,,
12,0,0.5628427267074585,0.3851892948150635,0.06254076212644577,0.44155964255332947,0.21106601886222898,0.5205819841100657,0.0351776706045655,158,570,,,,,-1,-1,-1,0,0.1298615038394928,0.4576617479324341,0.2278343141078949,-0.2493763566017151,0.9640380144119263,0.385943740606308,0.10424653440713882,0.17177033424377441,0.0
12,1,0.35177671909332275,0.36293917894363403,0.252680242061615,-0.7359327077865601,0.12092324846266209,0.31841835704765725,0.08794417531804179,173,551,,,,,-1,-1,-1,-1,,,,,,,,,
12,2,0.42213204503059387,0.36293917894363403,0.252680242061615,-0.7359327077865601,0.14510789200846544,0.38210201227145607,0.105533005911302,187,552,,,,,-1,-1,-1,-1,,,,,,,,,
12,3,0.42213204503059387,0.36000823974609375,0.22053326666355133,-0.588746190071106,0.1451078929468489,0.3855025694509407,0.09234138721591621,152,573,,,,,-1,-1,-1,-1,,,,,,,,,
12,4,0.35177671909332275,0.19335636496543884,0.22053326666355133,-0.44155964255332947,0.0659581364848864,0.33686036189207763,0.0769511592728926,209,597,,,,,-1,-1,-1,-1,,,,,,,,,
